target_id 	 Ck_1 	 CK_2 	 CK_3 	 ET_1 	 ET_2 	 ET_3 	 MJ_1 	 MJ_2 	 MJ_3 
CRO_T100498	0	0	0	0	0	0	0	0	0
CRO_T100499	0	0	0	0	0	0	0	0	0
CRO_T100500	0	0	0	0	0	0	0	0	0
CRO_T100501	0	0	0	0	0	0	0	0	0
CRO_T100502	0	0	0	0	0	0	0	0	0
CRO_T100503	15	12	21	20	19	17	12	17	13
CRO_T100504	4	3	4	5	4	3	3	5	2
CRO_T100505	183	164	198	196	160	182	170	172	176
CRO_T100506	3	1	2	3	2	1	1	3	1
CRO_T100508	4	2	6	4	2	4	3	3	1
CRO_T100509	133	111	138	127	113	131	128	133	129
CRO_T100510	60	59	72	69	67	66	63	61	69
CRO_T100512	0	0	0	0	0	0	0	0	0
CRO_T100515	0	0	0	0	0	0	0	0	0
CRO_T100517	0	0	0	0	0	0	0	0	0
CRO_T100518	0	0	0	0	0	0	0	0	0
CRO_T100519	0	0	0	0	0	0	0	0	0
CRO_T100521	0	0	0	0	0	0	0	0	0
CRO_T100522	0	0	0	0	0	0	0	0	0
CRO_T100523	75	61	77	63	61	58	81	84	87
CRO_T100524	154	156	170	140	147	171	152	137	141
CRO_T100525	0	0	0	0	0	0	0	0	0
CRO_T100526	0	0	0	0	0	0	0	0	0
CRO_T100527	92	78	103	100	87	89	95	100	96
CRO_T100528	43	48	40	45	39	45	42	37	40
CRO_T100529	152	127	118	126	129	124	126	118	128
CRO_T100530	56	62	59	56	55	80	73	71	76
CRO_T100531	0	0	0	0	0	0	0	0	0
CRO_T100533	20	18	21	21	21	20	22	21	21
CRO_T100535	0	0	0	0	0	0	0	0	0
CRO_T100536	0	0	0	0	0	0	0	0	0
CRO_T100537	0	0	0	0	0	0	0	0	0
CRO_T100538	0	0	0	0	0	0	0	0	0
CRO_T100539	0	0	0	0	0	0	0	0	0
CRO_T100540	0	0	0	0	0	0	0	0	0
CRO_T100541	0	0	0	0	0	0	0	0	0
CRO_T100542	0	0	0	0	0	0	0	0	0
CRO_T100543	0	0	0	0	0	0	0	0	0
CRO_T100544	0	0	0	0	0	0	0	0	0
CRO_T100545	0	0	0	0	0	0	0	0	0
CRO_T100546	0	0	0	0	0	0	0	0	0
CRO_T100547	0	0	0	0	0	0	0	0	0
CRO_T100549	148	145	169	193	163	143	162	185	159
CRO_T100550	15	12	14	17	17	20	15	18	14
CRO_T100551	0	0	0	0	0	0	0	0	0
CRO_T100552	0	0	0	0	0	0	0	0	0
CRO_T100553	53	56	64	67	60	69	65	61	64
CRO_T100554	33	30	44	35	36	29	21	22	21
CRO_T100555	0	0	0	0	0	0	0	0	0
CRO_T100556	12	10	14	14	14	11	8	12	8
CRO_T100557	0	0	0	0	0	0	0	0	0
CRO_T100559	0	0	0	0	0	0	0	0	0
CRO_T100560	0	0	0	0	0	0	0	0	0
CRO_T100561	0	0	0	0	0	0	0	0	0
CRO_T100563	0	0	0	0	0	0	0	0	0
CRO_T100564	0	0	0	0	0	0	0	0	0
CRO_T100566	51	52	62	64	58	62	60	62	62
CRO_T100568	0	0	0	0	0	0	0	0	0
CRO_T100569	0	0	0	0	0	0	0	0	0
CRO_T100570	0	0	0	0	0	0	0	0	0
CRO_T100572	0	0	0	0	0	0	0	0	0
CRO_T100573	0	0	0	0	0	0	0	0	0
CRO_T100574	0	0	0	0	0	0	0	0	0
CRO_T100575	1	1	2	3	1	1	1	1	2
CRO_T100577	0	0	0	0	0	0	0	0	0
CRO_T100578	12	12	13	14	13	12	12	12	13
CRO_T100579	3	3	3	2	2	2	2	3	2
CRO_T100580	6	7	7	8	8	8	6	6	7
CRO_T100581	0	0	0	0	0	0	0	0	0
CRO_T100582	0	0	0	0	0	0	0	0	0
CRO_T100583	410	485	598	603	561	597	612	615	601
CRO_T100584	3	6	10	11	9	9	7	9	7
CRO_T100585	43	40	37	39	37	35	37	33	32
CRO_T100587	0	0	0	0	0	0	0	0	0
CRO_T100588	0	0	0	0	0	0	1	0	1
CRO_T100589	2	1	1	0	0	1	0	0	1
CRO_T100590	6	6	6	5	4	6	7	8	6
CRO_T100591	0	0	0	0	0	0	0	0	0
CRO_T100592	0	0	0	0	0	0	0	0	0
CRO_T100593	17	15	18	16	16	15	8	10	10
CRO_T100594	0	0	0	0	0	0	0	0	0
CRO_T100595	0	0	0	0	0	0	0	0	0
CRO_T100596	0	0	0	0	0	0	0	0	0
CRO_T100600	31	30	39	41	40	33	33	35	35
CRO_T100601	6	5	3	6	4	5	6	6	6
CRO_T100602	0	0	0	0	0	0	0	0	0
CRO_T100604	0	0	0	0	0	0	0	0	0
CRO_T100605	0	0	0	0	0	0	0	0	0
CRO_T100607	0	0	0	0	0	0	0	0	0
CRO_T100608	0	2	0	0	1	2	0	4	0
CRO_T100610	2	1	0	3	0	3	2	1	2
CRO_T100611	3	5	7	6	5	7	6	6	7
CRO_T100612	0	0	0	0	0	0	0	0	0
CRO_T100613	0	0	0	0	0	0	0	0	0
CRO_T100614	0	0	0	0	0	0	0	0	0
CRO_T100615	0	0	0	0	0	0	0	0	0
CRO_T100616	0	0	0	0	0	0	0	0	0
CRO_T100617	0	0	0	0	0	0	0	0	0
CRO_T100618	0	0	0	0	0	0	0	0	0
CRO_T100619	15	13	21	19	19	14	15	18	15
CRO_T100620	0	0	0	0	0	0	0	0	0
CRO_T100621	0	0	0	0	0	0	0	0	0
CRO_T100622	0	0	0	0	0	0	0	0	0
CRO_T100623	13	11	9	11	12	10	12	12	11
CRO_T100624	20	21	26	20	25	27	18	22	22
CRO_T100626	4	3	7	4	4	5	5	3	4
CRO_T100629	13	11	16	13	10	8	17	15	19
CRO_T100630	0	0	0	0	0	0	0	0	0
CRO_T100631	0	0	0	0	0	0	0	0	0
CRO_T100632	0	0	0	0	0	0	0	0	0
CRO_T100633	0	0	0	0	0	0	0	0	0
CRO_T100634	0	0	0	0	0	0	0	0	0
CRO_T100635	0	0	0	0	0	0	0	0	0
CRO_T100636	0	0	0	0	0	0	0	0	0
CRO_T100637	0	0	0	1	0	0	1	1	0
CRO_T100638	0	0	0	0	0	0	0	0	0
CRO_T100639	11	9	12	10	13	9	9	11	9
CRO_T100640	1	1	2	2	1	1	1	1	1
CRO_T100643	0	0	0	0	0	0	0	0	0
CRO_T100644	0	0	0	0	0	0	0	0	0
CRO_T100646	0	0	0	1	1	0	0	2	0
CRO_T100648	0	0	0	0	0	0	0	0	0
CRO_T100651	6	4	6	6	7	5	5	5	5
CRO_T100652	2	2	2	1	1	3	1	1	1
CRO_T100653	0	0	0	0	0	0	0	0	0
CRO_T100655	0	0	0	0	0	0	0	0	0
CRO_T100657	0	0	0	0	0	0	0	0	0
CRO_T100658	5	6	5	5	2	9	6	3	7
CRO_T100659	0	0	0	0	0	0	0	0	0
CRO_T100660	0	0	0	0	0	0	0	0	0
CRO_T100661	0	0	0	0	0	0	0	0	0
CRO_T100662	0	0	0	0	0	0	0	0	0
CRO_T100664	0	0	0	0	0	0	0	0	0
CRO_T100665	0	0	0	0	0	0	0	0	0
CRO_T100666	6	3	4	3	4	6	6	5	5
CRO_T100667	0	0	0	0	0	0	0	0	0
CRO_T100668	0	0	0	0	0	0	0	0	0
CRO_T100669	0	0	0	0	0	0	0	0	0
CRO_T100670	11	10	14	13	13	14	15	16	13
CRO_T100671	0	1	0	1	1	2	2	3	0
CRO_T100672	0	0	0	0	0	0	0	0	0
CRO_T100673	4	4	5	4	3	5	2	3	5
CRO_T100674	0	0	0	0	0	0	0	0	0
CRO_T100675	15	14	18	14	13	13	11	14	14
