target_id 	 SRR5133628 	 SRR5133629 	 SRR5133630 	        SRR5133631 	 SRR5133632 	 SRR5133633 	 SRR5133634 	 SRR5133635 	 SRR5133636 
CL1026.Contig3	1532	1863	902	1920	956	671	1864	1297	1932
CL1027.Contig1	0	3	18	13	4	4	0	13	0
CL1027.Contig2	0	7	15	11	6	5	0	17	0
CL1027.Contig3	9	9	16	11	5	16	10	17	8
CL1027.Contig4	12	10	1	6	11	12	13	4	9
CL1027.Contig5	14	32	10	23	27	14	35	15	22
CL1027.Contig6	42	37	34	58	40	32	72	29	41
CL1027.Contig7	3	3	0	2	5	6	0	3	8
CL1027.Contig8	12	4	0	7	10	17	0	7	18
CL1027.Contig9	7	13	19	21	13	31	15	13	10
CL1028.Contig1	26	30	24	22	14	18	32	21	35
CL1028.Contig2	49	65	52	67	58	47	49	80	57
CL1029.Contig1	54	53	70	61	67	64	63	78	54
CL1029.Contig2	23	36	17	19	27	14	19	13	24
CL103.Contig1	27	22	36	33	18	7	25	19	24
CL103.Contig2	72	86	70	69	92	99	78	91	86
CL103.Contig3	22	50	20	30	43	60	29	46	25
CL103.Contig4	172	132	162	176	120	127	165	122	134
CL1030.Contig1	6	4	34	3	24	25	6	10	0
CL1030.Contig2	12	10	55	9	49	26	11	20	9
CL1031.Contig1	35	43	46	44	56	56	45	69	46
CL1031.Contig2	16	11	21	16	23	27	22	19	14
CL1031.Contig3	0	0	0	0	0	0	0	0	0
CL1031.Contig4	56	42	72	61	58	63	63	52	51
CL1032.Contig1	7	2	2	4	12	12	7	33	8
CL1032.Contig2	0	0	3	0	0	0	0	4	0
CL1032.Contig3	3	8	12	0	0	0	6	7	0
CL1032.Contig4	11	4	11	19	10	20	16	12	4
CL1033.Contig1	109	95	103	103	117	108	97	108	99
CL1033.Contig2	62	84	49	66	70	60	53	54	79
CL1033.Contig3	155	149	105	73	196	87	77	101	146
CL1034.Contig1	10	17	51	47	110	73	51	75	12
CL1034.Contig2	101	105	160	242	160	213	174	155	113
