target_id 	 Ck_1 	 CK_2 	 ET_1 	 ET_2 	 ET_3 
CRO_T100799	0	0	0	0	0
CRO_T100800	0	0	0	0	0
CRO_T100801	0	0	0	0	0
CRO_T100803	0	0	0	0	0
CRO_T100804	0	0	0	0	0
CRO_T100805	0	0	0	0	0
CRO_T100807	0	0	0	0	0
CRO_T100808	1	1	1	2	3
CRO_T100809	0	0	0	0	0
CRO_T100810	0	0	0	0	0
CRO_T100811	0	0	0	0	0
CRO_T100817	0	0	0	0	0
CRO_T100819	0	0	0	0	0
CRO_T100820	0	0	0	0	0
CRO_T100822	0	0	0	0	0
CRO_T100823	0	0	0	0	0
CRO_T100824	0	0	0	0	0
CRO_T100827	0	0	0	0	0
CRO_T100828	0	0	0	0	0
CRO_T100829	0	0	0	0	0
CRO_T100831	0	0	0	0	0
CRO_T100832	0	0	0	0	0
CRO_T100833	0	0	0	0	0
CRO_T100834	0	0	0	0	0
CRO_T100836	0	0	0	0	0
CRO_T100837	0	0	0	0	0
CRO_T100838	0	0	0	0	0
CRO_T100840	0	0	0	0	0
CRO_T100841	0	0	0	0	0
CRO_T100842	0	0	0	0	0
CRO_T100843	0	0	0	0	0
CRO_T100844	0	0	0	0	0
CRO_T100845	0	0	0	0	0
CRO_T100847	0	0	0	0	0
CRO_T100848	0	0	0	0	0
CRO_T100849	0	0	0	0	0
CRO_T100850	0	0	0	0	0
CRO_T100851	0	0	0	0	0
CRO_T100852	0	0	0	0	0
CRO_T100854	6	6	7	6	6
CRO_T100856	28	22	24	27	21
CRO_T100857	0	0	0	0	0
CRO_T100859	0	0	0	0	0
CRO_T100860	0	0	0	0	0
CRO_T100861	0	0	0	0	0
CRO_T100862	0	0	0	0	0
CRO_T100863	0	0	0	0	0
CRO_T100864	0	0	0	0	0
CRO_T100865	0	0	0	0	0
CRO_T100868	0	0	0	0	0
CRO_T100869	0	0	0	0	0
CRO_T100870	0	0	0	0	0
CRO_T100871	0	0	0	0	0
CRO_T100872	1	2	2	2	3
CRO_T100873	7	5	9	7	6
CRO_T100874	24	25	22	20	29
CRO_T100875	0	0	0	0	0
CRO_T100876	0	0	0	0	0
CRO_T100877	0	0	0	0	0
CRO_T100878	0	0	0	0	0
CRO_T100879	8	9	14	9	12
CRO_T100880	0	0	0	0	0
CRO_T100881	89	91	84	86	91
CRO_T100882	0	0	0	0	0
CRO_T100884	0	0	0	0	0
CRO_T100885	0	0	0	0	0
CRO_T100886	54	51	79	53	56
CRO_T100888	0	0	0	0	0
CRO_T100890	0	0	0	0	0
CRO_T100891	1	1	2	2	2
CRO_T100892	1	1	1	1	3
CRO_T100893	151	155	130	136	145
CRO_T100894	45	39	47	44	43
CRO_T100896	5	5	7	7	6
CRO_T100897	21	22	19	25	22
CRO_T100898	0	0	0	0	0
CRO_T100899	11	11	14	12	18
CRO_T100901	7	7	10	6	11
CRO_T100902	2	4	3	3	3
CRO_T100903	15	12	22	14	22
CRO_T100904	3	4	5	7	6
CRO_T100905	30	32	32	36	32
CRO_T100906	2	2	3	4	2
CRO_T100907	36	31	36	31	33
CRO_T100908	0	0	0	0	0
CRO_T100909	0	0	0	0	0
CRO_T100910	0	0	0	0	0
CRO_T100912	0	0	0	0	0
CRO_T100913	0	0	0	0	0
CRO_T100915	0	0	0	0	0
CRO_T100916	3	2	2	1	2
CRO_T100917	0	1	11	1	3
CRO_T100918	0	0	0	0	0
CRO_T100919	0	0	0	0	0
CRO_T100920	0	0	0	0	0
CRO_T100921	0	0	0	0	1
CRO_T100922	0	0	0	0	0
CRO_T100924	0	0	0	0	0
CRO_T100925	0	0	0	0	0
CRO_T100926	17	20	32	14	26
CRO_T100927	0	0	0	0	0
CRO_T100928	0	0	0	0	0
CRO_T100929	0	0	0	0	0
CRO_T100930	0	0	0	0	0
CRO_T100931	45	43	39	32	46
CRO_T100932	0	0	0	0	0
CRO_T100933	19	15	19	20	19
CRO_T100934	0	0	0	0	0
CRO_T100935	2	2	3	2	2
CRO_T100936	3	1	1	0	1
CRO_T100937	0	0	0	0	0
CRO_T100938	4	3	0	2	0
CRO_T100939	2	2	2	2	3
CRO_T100940	11	13	17	12	18
CRO_T100941	0	0	0	0	0
CRO_T100942	15	14	18	15	17
CRO_T100943	49	55	49	43	58
CRO_T100944	5	3	4	3	8
CRO_T100945	0	0	0	0	0
CRO_T100946	0	0	0	0	0
CRO_T100947	43	35	47	43	46
CRO_T100948	7	5	6	5	8
CRO_T100949	0	0	0	0	0
CRO_T100950	46	58	56	52	66
CRO_T100951	2	2	1	2	2
CRO_T100952	2	2	2	1	2
CRO_T100953	0	0	0	0	0
CRO_T100954	0	0	0	0	0
CRO_T100956	0	0	0	0	0
CRO_T100957	0	0	0	0	0
CRO_T100958	0	0	0	0	0
CRO_T100959	2	2	15	10	17
CRO_T100960	0	0	0	0	0
CRO_T100961	561	588	524	539	477
CRO_T100962	127	128	128	141	118
CRO_T100963	1	1	1	1	1
CRO_T100964	0	0	0	0	0
CRO_T100965	0	0	0	0	0
