baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
CRO_T117766	5.191319348	-0.031233201	0.999236424	-0.031257068	0.975064528	1
CRO_T121412	5.191319348	-0.031233201	0.999236424	-0.031257068	0.975064528	1
CRO_T122228	5.191319348	-0.031233201	0.999236424	-0.031257068	0.975064528	1
CRO_T125288	5.191319348	-0.031233201	0.999236424	-0.031257068	0.975064528	1
CRO_T129857	5.191319348	-0.031233201	0.999236424	-0.031257068	0.975064528	1
CRO_T132392	5.191319348	-0.031233201	0.999236424	-0.031257068	0.975064528	1
CRO_T136706	5.191319348	-0.031233201	0.999236424	-0.031257068	0.975064528	1
CRO_T138413	5.191319348	-0.031233201	0.999236424	-0.031257068	0.975064528	1
CRO_T138837	5.191319348	-0.031233201	0.999236424	-0.031257068	0.975064528	1
CRO_T123382	18.80078245	-0.016869672	0.545191002	-0.030942683	0.97531525	0.999986415
CRO_T135216	17.77543684	-0.017357733	0.562491528	-0.030858657	0.975382261	0.999986415
CRO_T115789	5.192693389	-0.030797002	0.999307034	-0.030818358	0.9754144	1
CRO_T117165	5.192693389	-0.030797002	0.999307034	-0.030818358	0.9754144	1
CRO_T134889	5.192693389	-0.030797002	0.999307034	-0.030818358	0.9754144	1
CRO_T133719	16.17845473	-0.018056835	0.588514705	-0.030682046	0.97552311	0.999986415
CRO_T105696	21.94032768	-0.015543048	0.509153012	-0.030527264	0.97564655	0.999986415
CRO_T123698	49.70119788	-0.010707278	0.350881845	-0.030515339	0.975656061	0.999986415
CRO_T100409	13.56030127	-0.019184411	0.633832978	-0.030267296	0.975853878	0.999986415
CRO_T125402	61.28846882	-0.009829765	0.325121006	-0.030234174	0.975880294	0.999986415
CRO_T117784	5.194067431	-0.030360421	1.008466912	-0.03010552	0.975982898	1
CRO_T130001	11.97899801	-0.020325018	0.675158601	-0.030104065	0.975984059	0.999986415
CRO_T119518	9.389402024	-0.022704017	0.754568934	-0.030088725	0.975996293	0.999986415
CRO_T100527	89.01146067	-0.008415795	0.279979578	-0.030058602	0.976020316	0.999986415
CRO_T128018	20.37745135	-0.01558307	0.522405518	-0.029829452	0.97620307	0.999986415
CRO_T134534	50.26682597	-0.010613969	0.3563726	-0.029783348	0.976239839	0.999986415
CRO_T133362	31.39079781	-0.01281254	0.432326345	-0.029636269	0.976357139	0.999986415
CRO_T106300	21.96287673	-0.014932319	0.504919524	-0.029573661	0.976407071	0.999986415
CRO_T102792	139.8601454	-0.00829828	0.280915926	-0.029540082	0.976433852	0.999986415
CRO_T126946	11.99742494	-0.019832461	0.672133824	-0.029506714	0.976460464	0.999986415
CRO_T118369	30.33964281	-0.012820181	0.434767246	-0.029487458	0.976475822	0.999986415
CRO_T139690	83.86225235	-0.008330861	0.282548759	-0.029484683	0.976478035	0.999986415
CRO_T107950	99.15550626	-0.008027066	0.276526218	-0.029028229	0.976842077	0.999986415
