baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
CRO_T106293	13.18210111	-0.313491583	0.635593604	-0.493226459	0.621852584	0.9998771
CRO_T117635	8.395414261	-0.388662327	0.788075033	-0.493179343	0.621885873	1
CRO_T134169	84.98361281	-0.131256751	0.266410416	-0.492686259	0.622234288	0.9998771
CRO_T116738	32.73730081	-0.20334133	0.412821152	-0.492565193	0.622319847	0.9998771
CRO_T126601	239.0068787	-0.086454663	0.175538493	-0.492511139	0.62235805	0.9998771
CRO_T116264	33.73603674	-0.201151155	0.40843301	-0.492494854	0.622369559	0.9998771
CRO_T131253	16.58290166	-0.280124718	0.568983019	-0.492325269	0.62248942	0.9998771
CRO_T127085	16.58232121	-0.281705555	0.572434329	-0.492118555	0.622635536	0.9998771
CRO_T133020	25.77476867	-0.240487579	0.488700215	-0.492096323	0.622651251	0.9998771
CRO_T127094	23.75108065	-0.247208674	0.503180993	-0.491291756	0.62322011	0.9998771
CRO_T130744	47.10429122	-0.172580954	0.351389672	-0.49113838	0.623328578	0.9998771
CRO_T131379	48.08782306	-0.168993304	0.344253908	-0.490897272	0.623499106	0.9998771
CRO_T139491	5.832770162	-0.571349016	1.164826308	-0.49050147	0.62377909	1
CRO_T116488	44.07642875	-0.176168198	0.359268032	-0.490353113	0.623884049	0.9998771
CRO_T101377	56.06893779	-0.157151362	0.320583442	-0.490204237	0.623989383	0.9998771
CRO_T117171	4.628808059	-0.549524106	1.121268683	-0.490091371	0.624069244	1
CRO_T115156	72.80291731	-0.146521902	0.299049447	-0.489958778	0.624163069	0.9998771
CRO_T130136	50.0769325	-0.165635882	0.338255514	-0.489676812	0.624362612	0.9998771
CRO_T137230	15.56116421	-0.290735123	0.594022042	-0.489434908	0.624533827	0.9998771
CRO_T108756	31.58356721	-0.22853644	0.467025441	-0.489344734	0.624597656	0.9998771
CRO_T134114	10.7904681	-0.343649019	0.702299896	-0.489319479	0.624615532	1
CRO_T109990	17.58311192	-0.269978618	0.552317234	-0.48881078	0.624975666	0.9998771
