	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CRO_T111442	81.01487497	2.956642863	0.416313602	7.101960761	1.23E-12	4.12E-10
CRO_T121696	39.61799957	3.128309013	0.446294888	7.009511188	2.39E-12	7.74E-10
CRO_T109472	426.3155446	1.513985429	0.218301111	6.935307958	4.05E-12	1.27E-09
CRO_T136385	77.04257663	2.045071331	0.299817617	6.82105126	9.04E-12	2.74E-09
CRO_T138884	212.1876275	1.365896777	0.201299179	6.78540661	1.16E-11	3.40E-09
CRO_T137889	34.07275562	3.666462273	0.545709279	6.718709781	1.83E-11	5.22E-09
CRO_T140358	36.21771117	3.273145524	0.487798422	6.710037127	1.95E-11	5.26E-09
CRO_T127776	203.6042123	1.209047099	0.1802187	6.708777172	1.96E-11	5.26E-09
CRO_T118744	137.2307442	1.851614332	0.276876897	6.6875003	2.27E-11	5.92E-09
CRO_T125598	39.87786308	2.781773109	0.424153416	6.558412594	5.44E-11	1.38E-08
CRO_T132448	2864.884803	1.723833643	0.263233834	6.548678087	5.80E-11	1.43E-08
CRO_T131457	47.14844771	6.892828111	1.079458432	6.385450245	1.71E-10	4.11E-08
CRO_T118184	459.7342967	1.42621566	0.227224156	6.276690313	3.46E-10	8.12E-08
CRO_T127864	66.93949093	1.844249568	0.299789178	6.151821695	7.66E-10	1.75E-07
CRO_T127905	61.71556271	2.098558885	0.341870176	6.13846726	8.33E-10	1.86E-07
CRO_T112425	143.0945094	1.450294962	0.23644589	6.133728798	8.58E-10	1.87E-07
CRO_T134260	34.90216938	2.691909114	0.44025065	6.114492088	9.69E-10	2.07E-07
CRO_T110195	129.091951	1.42085124	0.236340303	6.01188719	1.83E-09	3.83E-07
CRO_T112191	48.28591792	2.202510567	0.366586596	6.008159029	1.88E-09	3.83E-07
CRO_T138972	107.4967715	1.746521759	0.290973243	6.002344899	1.94E-09	3.89E-07
CRO_T103931	115.865387	-1.616949434	0.276903718	-5.83939228	5.24E-09	1.02E-06
CRO_T113752	210.0742861	-1.354709745	0.234516677	-5.776603032	7.62E-09	1.46E-06
CRO_T107139	168.1988331	-1.307550788	0.227506554	-5.747310405	9.07E-09	1.70E-06
CRO_T140971	21.6884791	4.355664205	0.766454067	5.682877022	1.32E-08	2.41E-06
CRO_T129915	144.5727824	1.285782826	0.226322192	5.681205263	1.34E-08	2.41E-06
CRO_T125329	184.3241278	1.14686845	0.20218462	5.67238225	1.41E-08	2.49E-06
CRO_T137083	424.8829361	-0.882665933	0.158245563	-5.577824208	2.44E-08	4.23E-06
CRO_T117690	52.8516089	2.278229327	0.4109488	5.543827669	2.96E-08	5.05E-06
CRO_T131879	113.5777423	1.243107965	0.224434373	5.538848387	3.04E-08	5.10E-06
CRO_T121623	88.84291008	1.418351339	0.256471102	5.53025791	3.20E-08	5.20E-06
CRO_T140426	50.80859635	1.979514487	0.358002651	5.529329129	3.21E-08	5.20E-06
CRO_T108945	210.8169159	-1.366188561	0.247658097	-5.516430017	3.46E-08	5.51E-06
CRO_T131512	62.44950472	1.677984108	0.304845809	5.504369949	3.70E-08	5.80E-06
CRO_T108822	33.96429212	2.428473388	0.441518369	5.500277132	3.79E-08	5.84E-06
CRO_T111320	301.6566004	1.40389557	0.255777721	5.488732817	4.05E-08	6.13E-06
CRO_T111314	440.6744774	1.056908715	0.193825791	5.452879654	4.96E-08	7.39E-06
CRO_T125907	24.51332042	4.093285394	0.753223374	5.434357904	5.50E-08	8.07E-06
CRO_T136994	108.1716372	1.247062952	0.229718145	5.428665435	5.68E-08	8.20E-06
